patent_id,title,authors,abstract,detail_url,application_no,publication_no,registration_no,application_date,publication_date,registration_date,ipc,pdf_links,score,matched_keywords
P54481,放射線検出装置、放射線検出方法、放射性微粒子検出装置,"坪田 陽一 ; Laffolley, H. ; 佐川 直貴 ; 中村 博樹 ; 鈴木 政浩; not registered",【課題】β線を検出する際に、γ線を弁別できる放射線検出装置を得る。 【解決手段】まず、一定時間内における放射線検出器10の測定結果(検出結果)が得られ(S11:測定工程)、この結果が記憶部に記憶される。発光の検出が認められた画素の連続体として検出パターンが複数認識される(S13:検出パターン認識工程)。まず、一つの検出パターンが選択され、これに含まれる画素における出力(パルス高)の和から、この検出パターン中で吸収されたエネルギーが算出される(S14)。解析部31は、このエネルギーと、前記のように検出パターンから算出された特徴量((「広がり」、「かたさ」、「離心率」)から、この検出パターンがα線、β線、γ線のどれによって形成されたかを判定する(S15:識別工程)。,https://jopss.jaea.go.jp/search/servlet/search?P54481,2024-176933,2026-067469,,2024/10/09,2026/04/21,,G01T 1/167(2006.01):G01T 1/36 (2006.01):G01T 1/24 (2006.01):G01T 1/20 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54481A.pdf,14,"パターン認識, 特徴量, 認識, 識別"
P53940,海洋ロボットの制御装置、海洋ロボット、海洋ロボットの制御方法、および海洋ロボットの制御プログラム,眞田 幸尚; 田原 淳一郎* ; 藤井 竣* ; 馬場尚一郎*,【課題】外乱が大きい場合であっても、海洋ロボットの位置を精度よく保持すること。 【解決手段】第1の推進器および第2の推進器を有する推進機構を備える海洋ロボットを制御する制御装置であって、海洋ロボットの目標位置および現在位置を含む位置情報を取得する情報取得部と、位置情報に基づいて切換関数を生成し、海洋ロボットの現在位置が目標位置に一致するようにスライディングモード制御を行うためのスライディングモード制御値を生成するスライディングモード制御部と、位置情報および切換関数に基づいて、海洋ロボットの現在位置が目標位置に一致するようにニューラルネットワーク制御を行うためのニューラルネットワーク制御値を生成するニューラルネットワーク制御部と、スライディングモード制御値およびニューラルネットワーク制御値に基づいて推進機構に入力される制御入力を生成する制御入力生成部とを備える。,https://jopss.jaea.go.jp/search/servlet/search?P53940,2023-179160,2025-068999,,2023/10/17,2025/04/30,,B63H 25/42 (2006.01):B63J 99/00 (2009.01):B63H 21/21 (2006.01):G05B 13/00 (2006.01):G05D 1/611(2024.01):G05D 1/43 (2024.01),https://jopss.jaea.go.jp/pdfdata/P1/P53940A.pdf,7,"ニューラルネットワーク, ロボット"
P53400,化合物同定方法及び化合物同定装置,阿部 雄太; 川上 智彦* ; 藤本 勝成* ; 横田 裕海*,【課題】未知試料に含まれる金属元素や化合物を分類・推定する方法を提供する。 【解決手段】本発明である化合物同定方法は、想定される化合物種の標準試料についてスペクトルデータを因子分解して因子及び前記因子の影響度を表す因子スコアを導出し、前記化合物種を決定木において前記因子スコアで分類するためのスコア閾値及び前記因子スコアを前記決定木にかける因子適用順を予め学習・設定しておき、未知試料のスペクトルデータに対して前記標準試料の因子を用いて前記未知試料における因子スコアを算出し、前記因子適用順にしたがって前記決定木で前記未知試料の因子スコアを前記スコア閾値によって分類していくことにより、前記未知試料に含まれる化合物種を同定する、ことを特徴とする。,https://jopss.jaea.go.jp/search/servlet/search?P53400,2022-057807,2023-149303,7780757,2022/03/31,2023/10/13,2025/11/27,G01N 21/71 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53400A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P53400A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P53400B.pdf,6,"分類, 学習, 推定"
P54220,RADIATION DETECTION DEVICE,北山 佳治; 人見 啓太朗* ; 野上 光博*,"A radiation detection device is provided that is wide in visual field, wide in application range of radiation energy, and which is smaller and lighter in weight as compared to other devices. The device includes a detecting element group has a plurality of detecting elements that detect radiation are three-dimensionally arranged. The detecting element group has a structure with a depletion formed by removing the detecting element at any position from a virtual detecting element group in which the detecting elements are laid out on any virtual surface. The depletion is provided at a position at which a difference of detected values between one detecting element and another detecting element arranged along any direction exhibits different values in a case where the radiation having the direction as an incident direction enters and a case where the radiation having an opposite direction of the direction as an incident direction enters.",https://jopss.jaea.go.jp/search/servlet/search?P54220,18/410450,US2024/0248219 A1,,2024/01/11,2024/07/25,,G01T 1/29 (2006.01):G01T 7/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54220A.pdf,5,ai
P54005,CARBON STRUCTURE,勅使河原 誠 ; 猿田 晃一; 村松 一生* ; 池田 裕二郎* ; 大竹 淑恵* ; 岩田 英里* ; 高橋 一馬* ; 須谷 康一*,"Provided is a carbon structure having a three-dimensional shape containing nano-carbon structures, wherein the nano-carbon structures have at least one structure from among a petal-like structure, in which flaky carbon having a graphene framework and a thickness of less than 20 nm is fixed in a petal-like shape, and an uneven structure formed by a collection of seed-like structures having a size of 1 to 100 nm. The carbon structure has favorable shapability and excellent durability in high radiation fields, and is effective as a reflective material for cold neutrons and very cold neutrons, the reflective material being capable of increasing the strength of the cold neutrons and very cold neutrons by coherent scattering.",https://jopss.jaea.go.jp/search/servlet/search?P54005,23874741.4,WO 2024/075614,,2023/09/27,2024/04/11,,C01B 32/15(2017.01):G01N 23/02(2006.01):G01N 23/05(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54005A.pdf,5,ai
P54004,CARBON STRUCTURE,勅使河原 誠 ; 猿田 晃一; 村松 一生* ; 池田 裕二郎* ; 大竹 淑恵* ; 岩田 英里* ; 高橋 一馬* ; 須谷 康一*,"Provided is a carbon structure having a three-dimensional shape containing nano-carbon structures, wherein the nano-carbon structures have at least one structure from among a petal-like structure, in which flaky carbon having a graphene framework and a thickness of less than 20 nm is fixed in a petal-like shape, and an uneven structure formed by a collection of seed-like structures having a size of 1 to 100 nm. The carbon structure has favorable shapability and excellent durability in high radiation fields, and is effective as a reflective material for cold neutrons and very cold neutrons, the reflective material being capable of increasing the strength of the cold neutrons and very cold neutrons by coherent scattering.",https://jopss.jaea.go.jp/search/servlet/search?P54004,"19/115,022",WO 2024/075614,,2023/09/27,2024/04/11,,C01B 32/15(2017.01):G01N 23/02(2006.01):G01N 23/05(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54004A.pdf,5,ai
P54006,CARBON STRUCTURE,勅使河原 誠 ; 猿田 晃一; 村松 一生* ; 池田 裕二郎* ; 大竹 淑恵* ; 岩田 英里* ; 高橋 一馬* ; 須谷 康一*,"Provided is a carbon structure having a three-dimensional shape containing nano-carbon structures, wherein the nano-carbon structures have at least one structure from among a petal-like structure, in which flaky carbon having a graphene framework and a thickness of less than 20 nm is fixed in a petal-like shape, and an uneven structure formed by a collection of seed-like structures having a size of 1 to 100 nm. The carbon structure has favorable shapability and excellent durability in high radiation fields, and is effective as a reflective material for cold neutrons and very cold neutrons, the reflective material being capable of increasing the strength of the cold neutrons and very cold neutrons by coherent scattering.",https://jopss.jaea.go.jp/search/servlet/search?P54006,202380067536.2,WO 2024/075614,,2023/09/27,2024/04/11,,C01B 32/15(2017.01):G01N 23/02(2006.01):G01N 23/05(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54006A.pdf,5,ai
P53464,中性子検出器,"伊藤 史哲 ; Lee, J. ; 弘中 浩太 ; 小泉 光生; not registered","To obtain a neutron detector capable of measuring high dose neutrons with high neutron/gamma-ray discrimination ability and high efficiency. A scintillator 10 has a layered structure in which a phosphor layer 11 and a light transmission layer 12 are alternatelylaminatedin z direction. The phosphor layer 11 is made of a phosphor material emitting fluorescent light by absorbing neutrons, the material being, for example, a scintillator material used in neutron detectors having alreadybeen known. The light transmission layer 12 is made of a material highly transmitting fluorescent light emitted by the phosphor materialand only slightlyabsorbingneutrons. In the scintillator 10, when neutrons and gamma-ray photons enter it, luminescence intensity (pulse height) due to neutrons is significantly different from that due to gamma-ray photons. It makes it easy to discriminate between outputs due to the two kinds of radiations.",https://jopss.jaea.go.jp/search/servlet/search?P53464,18/086818,2023/0228890,12196899,2022/12/22,2023/07/20,2025/01/14,G01T 3/06 (2006.01):G01T 3/02 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53464A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P53464A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P53464B.pdf,5,ai
P53263,電子デバイス、その製造方法及びその使用方法,家田 淳一; 竹内 祐太朗* ; 深見 俊輔* ; 山根 結太* ; Yoon J.-Y.* ; 陣内 佛霖* ; 金井 駿* ; 大野 英男*,"The purpose of the present invention is to provide a digital device for which an external magnetic field in unnecessary, which can be used as a memory element and random number generation element capable of outputting a comparatively large reading signal, and which can also be used as an oscillation/detection element having output/input frequency variability. Provided is a digital device characterized by comprising a main body, an input terminal, and an output terminal, wherein: the main body is configured by laminating a spin torque generation layer and a non-collinear antiferromagnetic layer in this order on a substrate, or in the reverse order in the stacking direction; the input terminal is disposed on both ends in an arbitrary direction parallel to the lamination surface of the spin torque generation layer; and the non-collinear antiferromagnetic layer has a non-collinear magnetic order in the plane formed by the arbitrary direction and the stacking direction.",https://jopss.jaea.go.jp/search/servlet/search?P53263,111110073,202244923,I922630,2022/03/18,2022/11/16,2026/04/21,G11C 11/16 (2006.01):G11C 11/02 (2006.01):H01L 43/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53263A.pdf,5,ai
P53228,液液系多段装置及びそれを用いた特定物質の製造方法,長縄 弘親 ; 永野 哲志 ; 鈴木 英哉; not registered,"DISPOSITIVO DE MULTIPLOS ESTAGIOS DE TIPO LIQUIDO-LIQUIDO E METODO DE PRODUCAO DE SUBSTANCIAS ESPECIFICAS QUE USA O MESMO. A presente invencao refere-se a dispositivo de multiplos estagios usado em um sistema de liquido-liquido que compreende duas fases liquidas que nao se misturam, no qual a posicao da interface (interface liquido-liquido) de uma fase liquida pesada e de uma fase liquida leve nao flutua ou e mesmo suprimida e um metodo de producao de uma substancia especifica que usa o mesmo. Um dispositivo que tem um corpo conectado de uma pluralidade de recipientes adjacentes ou dois ou mais estagios instalados em um recipiente de peca unica no qual uma pluralidade de divisorias e colocada dentro do mesmo, e um metodo de producao de uma substancia especifica que usa o mesmo. ・・・",https://jopss.jaea.go.jp/search/servlet/search?P53228,BR102022005725-7,BR102022005725-7,,2022/03/25,2022/10/25,,B01D 11/04,https://jopss.jaea.go.jp/pdfdata/P1/P53228A.pdf,5,ai
P53226,液液系多段装置及びそれを用いた特定物質の製造方法,長縄 弘親 ; 永野 哲志 ; 鈴木 英哉; not registered,"[PROBLEMS] To provide a multistage apparatus used in a liquid-liquid system comprising two liquid phases that do not mix with each other, in which the position of the interface (liquid-liquid interface) of a heavy liquid phase and a light liquid does not fluctuate or else is suppressed, and a method of producing a specific substance using it. [SOLVING MEANS] An apparatus having a connected body of a plurality of adjacent containers or two or more stages installed in a single-piece container in which a plurality of partitions are arranged inside thereof, and a method of producing a specific substance using it. The multistage extraction is performed so as that the position of the interface (liquid-liquid interface) of a heavy liquid phase and a light liquid does not fluctuate or else is suppressed, by using the mechanism in which only the heavy liquid phase communicates in the lower part of the container, ・・・",https://jopss.jaea.go.jp/search/servlet/search?P53226,17/703722,2022/0331751,,2022/03/24,2022/10/20,,B01F 23/41 (2006.01):B01F 23/43 (2006.01):B01F 23/451(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53226A.pdf,5,ai
P53230,水素同位体濃縮装置,保田 諭 ; 朝岡 秀人; 松島 永佳*,"To obtain deuterium in a gas state from a mixed gas of hydrogen and deuterium at a low cost. A first electrode 11 is an electrode made of a metal allowing hydrogen (H component and D component) to permeate therethrough (hydrogen permeable metal), and the hydrogen permeable metal is Pd, for example. H ions and D ions having permeated through the first electrode 11 flow to the side of a second electrode 12 in a proton conduction layer 20. When the first electrode 11 is used as an anode and the second electrode 12 as a cathode, H ions and D ions flow in the proton conduction layer 20 from the left to the right in the drawing. In that case, hydrogen component in an input gas is more likely to flow into an atmosphere on the cathode side than deuterium component, and an H/D composition ratio accordingly becomes higher in a product gas than in the input gas. In an exhaust gas extracted after H and D components in the input gas are thus consumed, D component has been enriched.",https://jopss.jaea.go.jp/search/servlet/search?P53230,17/691807,2022/0288532,12533634,2022/03/10,2022/09/15,2026/01/27,B01D 59/40 (2006.01):C01B 3/58 (2006.01):H01M 4/86 (2006.01):H01M 4/88 (2006.01):H01M 4/92 (2006.01):H01M 16/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53230A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P53230A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P53230B.pdf,5,ai
P53231,水素同位体濃縮装置,保田 諭 ; 朝岡 秀人; 松島 永佳*,"To obtain deuterium in a gas state from a mixed gas of hydrogen and deuterium at a low cost. A first electrode 11 is an electrode made of a metal allowing hydrogen (H component and D component) to permeate therethrough (hydrogen permeable metal), and the hydrogen permeable metal is Pd, for example. H ions and D ions having permeated through the first electrode 11 flow to the side of a second electrode 12 in a proton conduction layer 20. When the first electrode 11 is used as an anode and the second electrode 12 as a cathode, H ions and D ions flow in the proton conduction layer 20 from the left to the right in the drawing. In that case, hydrogen component in an input gas is more likely to flow into an atmosphere on the cathode side than deuterium component, and an H/D composition ratio accordingly becomes higher in a product gas than in the input gas. In an exhaust gas extracted after H and D components in the input gas are thus consumed, D component has been enriched.",https://jopss.jaea.go.jp/search/servlet/search?P53231,3151601,3151601,,2022/03/10,2022/09/12,,B01D 59/38 (2006.01):H01M 8/0662(2016.01):H01M 8/1004(2016.01),https://jopss.jaea.go.jp/pdfdata/P1/P53231A.pdf,5,ai
P53221,薄膜インダクタ素子及び薄膜可変インダクタ素子,家田 淳一; 山根 結太* ; 深見 俊輔*,"The purpose of the present invention is to provide a thin film inductor element which utilizes a novel emergent electromagnetic field that does not have much difficulty in selecting materials, while not having high temperature dependence. A thin film inductor element that is characterized by comprising a multilayer film, in which a magnetic layer and a non-magnetic layer or an antiferromagnetic layer are stacked, and a pair of electrodes, while being also characterized in that: the magnetic layer and the non-magnetic layer or the antiferromagnetic layer are stretched in an arbitrary shape in a direction that is perpendicular to the stacking direction; the vertical orientation of the stacked layers is also arbitrary; the magnetic layer has a generally uniform magnetization structure; and the pair of electrodes are provided on both ends of the multilayer film in the stretched direction, while having an alternating current or a high frequency current applied thereto.",https://jopss.jaea.go.jp/search/servlet/search?P53221,10-2023-7027254,10-2023-149810,10-2897137,2022/01/07,2022/09/01,2025/12/03,H01F 17/00(2006.01):H01F 21/00(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53221A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P53221A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P53221B.pdf,5,ai
P53222,薄膜インダクタ素子及び薄膜可変インダクタ素子,家田 淳一; 山根 結太* ; 深見 俊輔*,"The purpose of the present invention is to provide a thin film inductor element which utilizes a novel emergent electromagnetic field that does not have much difficulty in selecting materials, while not having high temperature dependence. A thin film inductor element that is characterized by comprising a multilayer film, in which a magnetic layer and a non-magnetic layer or an antiferromagnetic layer are stacked, and a pair of electrodes, while being also characterized in that: the magnetic layer and the non-magnetic layer or the antiferromagnetic layer are stretched in an arbitrary shape in a direction that is perpendicular to the stacking direction; the vertical orientation of the stacked layers is also arbitrary; the magnetic layer has a generally uniform magnetization structure; and the pair of electrodes are provided on both ends of the multilayer film in the stretched direction, while having an alternating current or a high frequency current applied thereto.",https://jopss.jaea.go.jp/search/servlet/search?P53222,202280014817.7,WO2022/181069,,2022/01/07,2022/09/01,,H01F 17/00(2006.01):H01F 21/00(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53222A.pdf,5,ai
P53220,THIN FILM INDUCTOR ELEMENT AND THIN FILM VARIABLE INDUCTOR ELEMENT,家田 淳一; 山根 結太* ; 深見 俊輔*,"The purpose of the present invention is to provide a thin film inductor element which utilizes a novel emergent electromagnetic field that does not have much difficulty in selecting materials, while not having high temperature dependence. A thin film inductor element that is characterized by comprising a multilayer film, in which a magnetic layer and a non-magnetic layer or an antiferromagnetic layer are stacked, and a pair of electrodes, while being also characterized in that: the magnetic layer and the non-magnetic layer or the antiferromagnetic layer are stretched in an arbitrary shape in a direction that is perpendicular to the stacking direction; the vertical orientation of the stacked layers is also arbitrary; the magnetic layer has a generally uniform magnetization structure; and the pair of electrodes are provided on both ends of the multilayer film in the stretched direction, while having an alternating current or a high frequency current applied thereto.",https://jopss.jaea.go.jp/search/servlet/search?P53220,18/546002,WO2022/181069,,2022/01/07,2022/09/01,,H01F 17/00(2006.01):H01F 21/00(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53220A.pdf,5,ai
P52741,放射線分析方法、放射線検出器,冠城 雅晃; 島添 健次*,"The present invention carries out highly accurate assay of a sample, even under high-dose radiation, by analyzing an energy spectrum obtained by a radiation detector. In this radiation analysis method, first, the spectrum (actual spectrum) of a sample is measured by a radiation detector (sample measurement step: S1). In this step, two or more types of scintillators having different sizes are used and two or more types of shielding substances having different thicknesses are used to obtain an actual spectrum for each condition (setting condition). Next, measurement similar to that described above is carried out with respect to a reference radiation source (reference radiation source measurement step: S2). Next, a background nuclide-derived component, which is a component derived from a background nuclide (137Cs) in the actual spectrum, is inferred from the reference spectrum obtained in the reference radiation source measurement step (S2) (background nuclide-derived component inference step: S3). ・・・",https://jopss.jaea.go.jp/search/servlet/search?P52741,21877754.8,4227712,,2021/10/08,2022/04/14,,G01T 1/167(2006.01):G01T 1/20 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52741A.pdf,5,ai
P52742,放射線分析方法、放射線検出器,冠城 雅晃; 島添 健次*,"The present invention carries out highly accurate assay of a sample, even under high-dose radiation, by analyzing an energy spectrum obtained by a radiation detector. In this radiation analysis method, first, the spectrum (actual spectrum) of a sample is measured by a radiation detector (sample measurement step: S1). In this step, two or more types of scintillators having different sizes are used and two or more types of shielding substances having different thicknesses are used to obtain an actual spectrum for each condition (setting condition). Next, measurement similar to that described above is carried out with respect to a reference radiation source (reference radiation source measurement step: S2). Next, a background nuclide-derived component, which is a component derived from a background nuclide (137Cs) in the actual spectrum, is inferred from the reference spectrum obtained in the reference radiation source measurement step (S2) (background nuclide-derived component inference step: S3). ・・・",https://jopss.jaea.go.jp/search/servlet/search?P52742,21877754.8,4227712,,2021/10/08,2022/04/14,,G01T 1/167(2006.01):G01T 1/20 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52742A.pdf,5,ai
P52740,放射線分析方法、放射線分析装置、放射線検出器,冠城 雅晃; 島添 健次*,"The present invention carries out highly accurate assay of a sample, even under high-dose radiation, by analyzing an energy spectrum obtained by a radiation detector. In this radiation analysis method, first, the spectrum (actual spectrum) of a sample is measured by a radiation detector (sample measurement step: S1). In this step, two or more types of scintillators having different sizes are used and two or more types of shielding substances having different thicknesses are used to obtain an actual spectrum for each condition (setting condition). Next, measurement similar to that described above is carried out with respect to a reference radiation source (reference radiation source measurement step: S2). Next, a background nuclide-derived component, which is a component derived from a background nuclide (137Cs) in the actual spectrum, is inferred from the reference spectrum obtained in the reference radiation source measurement step (S2) (background nuclide-derived component inference step: S3). ・・・",https://jopss.jaea.go.jp/search/servlet/search?P52740,18/031002,US20230375732,12474492,2021/10/08,2022/04/14,2025/11/18,G01T 1/36(2006.01):G01T 1/20 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52740A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52740A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52740B.pdf,5,ai
P52723,真空部品、これを用いた真空排気方法,神谷 潤一郎; not registered,"Provided is a vacuum component capable of evacuation by a getting effect, which has a large maximum number of captured molecules and a long working life. It is provided, in an area around its central axis, with a hollow cylindrical electrode 20 having an electrode surface 20A that is sufficiently smaller than an inner surface 10A of the vacuum container 10, along the central axis. In the vacuum container 10, it is possible to realize any one of states among a first state of generating DC discharge by introducing Ar into the inside and setting the electrode surface 20A at a positive potential, a second state of setting the electrode surface 20A at a ground potential without introducing Ar, and a third state of generating DC discharge by introducing Ar into the inside and setting the electrode surface 20A at a negative potential. Evacuation by the vacuum component 1 is performed in the second state. ・・・",https://jopss.jaea.go.jp/search/servlet/search?P52723,17/387756,2022/0034327,11668309,2021/07/28,2022/02/03,2023/06/06,F04D 19/04 (2006.01):F04B 37/04 (2006.01):F04B 37/02 (2006.01):F04B 37/14 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52723A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52723A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52723B.pdf,5,ai
P52724,真空部品、これを用いた真空排気方法,神谷 潤一郎; not registered,"Provided is a vacuum component capable of evacuation by a getting effect, which has a large maximum number of captured molecules and a long working life. It is provided, in an area around its central axis, with a hollow cylindrical electrode 20 having an electrode surface 20A that is sufficiently smaller than an inner surface 10A of the vacuum container 10, along the central axis. In the vacuum container 10, it is possible to realize any one of states among a first state of generating DC discharge by introducing Ar into the inside and setting the electrode surface 20A at a positive potential, a second state of setting the electrode surface 20A at a ground potential without introducing Ar, and a third state of generating DC discharge by introducing Ar into the inside and setting the electrode surface 20A at a negative potential. Evacuation by the vacuum component 1 is performed in the second state. ・・・",https://jopss.jaea.go.jp/search/servlet/search?P52724,21188189.1,EP3945210,3945210,2021/07/28,2022/02/02,2023/09/06,F04B 37/04(2006.01):F04B 37/14(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52724A.pdf,5,ai
P52722,アルミニウム合金材およびアルミニウム合金材の水素脆化防止剤,山口 正剛; 戸田 裕之* ; 清水 一行*,"An aluminum alloy material which has an aluminum alloy composition (1) described below. Aluminum alloy composition (1) contains 0.30% by mass or less of Si, more than 0.35% by mass of Fe, 0.20% by mass or less of Cu, from 0.20% by mass to 0.70% by mass of Mn, from 1.0% by mass to 2.0% by mass of Mg, 0.30% by mass or less of Cr, from 4.0% by mass to 5.0% by mass of Zn, 0.10% by mass or less of V, 0.25% by mass or less of Zr and 0.20% by mass or less of Ti, while additionally containing Al.",https://jopss.jaea.go.jp/search/servlet/search?P52722,3185880,WO2021/246267,,2021/05/27,2021/12/09,,C22C 21/10,https://jopss.jaea.go.jp/pdfdata/P1/P52722A.pdf,5,ai
P52364,液液抽出に基づく特定物質の製造装置,長縄 弘親 ; 永野 哲志; not registered,"This apparatus is provided with a container, a first liquid introduction unit for introducing a heavy liquid phase from above said container, a second liquid introduction unit for introducing a light liquid phase from below said container, a stirrig unit for mechanically stirring the vicinity of the interface between the light liquid phase and the heavy liquid phase while forming the light liquid phase in the upper part of said container and the heavy liquid phase in the lower part. And, specific substances are separated and purified in a heavy liquid phase and/or a light liquid phase, by growing the emulsion-mixed phase of two-liquid phases, and promoting simultaneously the phase separation of both phases.",https://jopss.jaea.go.jp/search/servlet/search?P52364,202044054398,202044054398A,423648,2020/12/14,2021/06/25,2023/03/01,B01D 11/04,,5,ai
P51847,METHOD AND APPARATUS FOR PRODUCING SPECIFIC SUBSTANCES BY EXTRACTION AND SEPARATION IN A LIQUID-LIQUID SYSTEM,長縄 弘親 ; 永野 哲志; not registered,"A new system in which a forward extraction part, a scrubbing part, and a backward extraction part operate together and synchronously to produce specific substances by extraction and separation in a liquid-liquid system. The aqueous phase is circulated independently only in the forward extraction part one or more times, and the organic phase is circulated from the forward extraction part through the scrubbing part and the backward extraction part to the forward extraction part again in synchronization with the liquid circulation of the aqueous phase.",https://jopss.jaea.go.jp/search/servlet/search?P51847,16/903622,2020/0398185,11571634,2020/06/17,2020/12/24,2023/02/07,B01D 11/04 (2006.01):C22B 59/00 (2006.01):C01F 17/17 (2020.01),https://jopss.jaea.go.jp/pdfdata/P1/P51847A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P51847A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P51847B.pdf,5,ai
P51841,炭酸基高含有炭酸アパタイト,関根 由莉奈 ; 南川 卓也 ; 香西 直文; not registered,"Une carbonate-apatite a teneur elevee en groupes carbonate est fournie, possedant un pouvoir d'adsorption de metaux lourds excellent. La carbonate-apatite ne contient pas moins de 15,6 % en poids de groupes carbonate, preferablement contient au moins l'un parmi le cuivre (Cu), le zinc (Zn), le strontium (Sr), le magnesium (Mg), le potassium (K), le fer (Fe), et le sodium (Na), et preferablement possede un rapport molaire Ca/P de pas moins de 1,5. Figure pour l'abrege : 9",https://jopss.jaea.go.jp/search/servlet/search?P51841,1915710,3091526,1915710,2019/12/30,2020/07/10,2024/01/05,C01B 25/32 (2019.12):B01J 20/04:B01J 20/28:B01D 15/04,https://jopss.jaea.go.jp/pdfdata/P1/P51841A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P51841A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P51841B.pdf,5,ai
P51843,PROCESS FOR PRODUCING CARBONATE APATITE,関根 由莉奈 ; 南川 卓也 ; 香西 直文; not registered,An efficient method of producing a carbonate apatite is provided. The method comprises: a first step of calcining animal bone; and a second step of reacting a bone calcined product obtained in the first step with a basic carbonate compound.,https://jopss.jaea.go.jp/search/servlet/search?P51843,16/732396,2020/0216318,11649166,2020/01/02,2020/07/09,2023/05/16,C01B 25/16 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P51843A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P51843A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P51843B.pdf,5,ai
P51840,CARBONATE APATITE WITH HIGH CARBONATE CONTENT,関根 由莉奈 ; 南川 卓也 ; 香西 直文; not registered,"A carbonate apatite highly containing carbonate groups, having excellent heavy metal adsorption capacity is provided. The carbonate apatite contains not less than 15.6% by weight carbonate groups, preferably contains at least one of copper (Cu), zinc (Zn), strontium (Sr), magnesium (Mg), potassium (K), iron (Fe), and sodium (Na), and preferably has a Ca/P molar ratio of not less than 1.5.",https://jopss.jaea.go.jp/search/servlet/search?P51840,16/731234,2020/0215513,11577216,2019/12/31,2020/07/09,2023/02/14,B01J 20/04 (2006.01):C01B 25/16 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P51840A.pdf,5,ai
P51482,PRODUCTION PROCESS OF FINE-GRAINED AUSTENITIC STAINLESS STEEL,広田 憲亮 ; 武内 伴照 ; 中野 寛子; 菊池 淳*,"A process of producing a fine-grained austenitic stainless steel, the process comprising a step of subjecting a fine-grained austenitic stainless steel comprising: C: 0.15 wt % or less, Si: 1.00 wt % or less, Mn: 2.0 wt % or less, Ni: 6.0 to 14.0 wt %, Cr: 16.0 to 22.0 wt %, and Mo: 3.0 wt % or less, with the balance being Fe and inevitable impurities, and having an average grain size of 10 μm or lower, to an annealing treatment at a temperature from 600° C. to 700° C. for 48 hours or longer.",https://jopss.jaea.go.jp/search/servlet/search?P51482,16/578755,2020/0102625,11597982,2019/09/23,2020/04/02,2023/03/07,C22C 38/02 (2006.01):C21D 9/46 (2006.01):C22C 38/44 (2006.01):C22C 38/04 (2006.01):C21D 6/00 (2006.01):C21D 8/02 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P51482A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P51482A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P51482B.pdf,5,ai
